time,lon,lat,PMSL
01/07/1979 (00:00),-120.524,42.0795,101740
01/07/1979 (00:00),-120.14,42.1308,101774
01/07/1979 (00:00),-119.756,42.1806,101844
01/07/1979 (00:00),-119.371,42.229,102004
01/07/1979 (00:00),-118.985,42.2759,102116
01/07/1979 (00:00),-118.598,42.3214,102213
01/07/1979 (00:00),-118.211,42.3653,102310
01/07/1979 (00:00),-117.824,42.4078,102470
01/07/1979 (00:00),-117.435,42.4488,102479
01/07/1979 (00:00),-117.046,42.4884,102366
01/07/1979 (00:00),-116.657,42.5264,102344
01/07/1979 (00:00),-116.267,42.5629,102480
01/07/1979 (00:00),-115.877,42.598,102807
01/07/1979 (00:00),-115.486,42.6315,102920
01/07/1979 (00:00),-115.094,42.6635,102976
01/07/1979 (00:00),-114.703,42.6941,102991
01/07/1979 (00:00),-114.31,42.7231,102992
01/07/1979 (00:00),-113.918,42.7506,103005
01/07/1979 (00:00),-113.525,42.7766,102999
01/07/1979 (00:00),-113.131,42.8011,102947
01/07/1979 (00:00),-112.738,42.8241,102915
01/07/1979 (00:00),-127.764,41.1123,101225
01/07/1979 (00:00),-127.395,41.1907,101264
01/07/1979 (00:00),-127.025,41.2678,101303
01/07/1979 (00:00),-126.654,41.3435,101344
01/07/1979 (00:00),-126.282,41.4178,101385
01/07/1979 (00:00),-125.909,41.4908,101424
01/07/1979 (00:00),-125.536,41.5624,101464
01/07/1979 (00:00),-125.161,41.6325,101500
01/07/1979 (00:00),-124.785,41.7013,101533
01/07/1979 (00:00),-124.408,41.7687,101553
01/07/1979 (00:00),-124.031,41.8347,101541
01/07/1979 (00:00),-123.652,41.8992,101512
01/07/1979 (00:00),-123.273,41.9624,101516
01/07/1979 (00:00),-122.893,42.0241,101518
01/07/1979 (00:00),-122.512,42.0844,101535
01/07/1979 (00:00),-122.13,42.1432,101565
01/07/1979 (00:00),-121.747,42.2006,101604
01/07/1979 (00:00),-121.364,42.2566,101659
01/07/1979 (00:00),-120.979,42.3111,101691
01/07/1979 (00:00),-120.594,42.3641,101725
01/07/1979 (00:00),-120.209,42.4157,101795
01/07/1979 (00:00),-119.822,42.4659,101967
01/07/1979 (00:00),-119.435,42.5145,102131
01/07/1979 (00:00),-119.048,42.5617,102238
01/07/1979 (00:00),-118.659,42.6074,102206
01/07/1979 (00:00),-118.27,42.6516,102402
01/07/1979 (00:00),-117.88,42.6944,102632
01/07/1979 (00:00),-117.49,42.7356,102672
01/07/1979 (00:00),-117.099,42.7754,102533
01/07/1979 (00:00),-116.708,42.8136,102468
01/07/1979 (00:00),-116.316,42.8504,102750
01/07/1979 (00:00),-115.924,42.8856,102903
01/07/1979 (00:00),-115.531,42.9194,102976
01/07/1979 (00:00),-115.137,42.9516,102973
01/07/1979 (00:00),-114.743,42.9823,102962
01/07/1979 (00:00),-114.349,43.0115,102960
01/07/1979 (00:00),-113.954,43.0392,102976
01/07/1979 (00:00),-113.559,43.0653,102953
01/07/1979 (00:00),-113.164,43.09,102946
01/07/1979 (00:00),-112.768,43.113,102962
01/07/1979 (00:00),-127.87,41.3899,101228
01/07/1979 (00:00),-127.499,41.4688,101269
01/07/1979 (00:00),-127.127,41.5463,101308
01/07/1979 (00:00),-126.755,41.6224,101347
01/07/1979 (00:00),-126.381,41.6972,101385
01/07/1979 (00:00),-126.006,41.7705,101425
01/07/1979 (00:00),-125.631,41.8425,101464
01/07/1979 (00:00),-125.254,41.9131,101500
01/07/1979 (00:00),-124.877,41.9823,101534
01/07/1979 (00:00),-124.498,42.05,101560
01/07/1979 (00:00),-124.119,42.1164,101548
01/07/1979 (00:00),-123.738,42.1813,101537
01/07/1979 (00:00),-123.357,42.2448,101525
01/07/1979 (00:00),-122.975,42.3069,101542
01/07/1979 (00:00),-122.592,42.3675,101567
01/07/1979 (00:00),-122.209,42.4267,101581
01/07/1979 (00:00),-121.824,42.4844,101622
01/07/1979 (00:00),-121.439,42.5407,101676
01/07/1979 (00:00),-121.053,42.5956,101710
01/07/1979 (00:00),-120.666,42.6489,101742
