time,lon,lat,CAPE
01/07/1979 (00:00),-126.121,43.2445,0
01/07/1979 (00:00),-125.736,43.3172,0
01/07/1979 (00:00),-125.349,43.3883,0
01/07/1979 (00:00),-124.961,43.4581,0
01/07/1979 (00:00),-124.573,43.5263,0
01/07/1979 (00:00),-124.183,43.5932,0
01/07/1979 (00:00),-123.792,43.6585,0
01/07/1979 (00:00),-123.401,43.7224,0
01/07/1979 (00:00),-123.008,43.7848,0
01/07/1979 (00:00),-122.615,43.8457,0
01/07/1979 (00:00),-122.221,43.9051,0
01/07/1979 (00:00),-121.826,43.9631,0
01/07/1979 (00:00),-121.43,44.0195,0
01/07/1979 (00:00),-121.033,44.0744,0
01/07/1979 (00:00),-120.635,44.1278,0
01/07/1979 (00:00),-120.237,44.1797,0
01/07/1979 (00:00),-119.838,44.2301,0
