time,lon,lat,H500
01/01/1979 (00:00),-113.067,42.2239,5360.21
01/01/1979 (00:00),-112.678,42.2466,5354.71
01/01/1979 (00:00),-127.556,40.5573,5689.21
01/01/1979 (00:00),-127.191,40.6349,5686.21
01/01/1979 (00:00),-126.824,40.7111,5683.21
01/01/1979 (00:00),-126.456,40.7859,5679.21
01/01/1979 (00:00),-126.088,40.8594,5675.21
01/01/1979 (00:00),-125.718,40.9316,5670.71
01/01/1979 (00:00),-125.348,41.0023,5666.21
01/01/1979 (00:00),-124.977,41.0717,5661.21
01/01/1979 (00:00),-124.604,41.1397,5655.71
01/01/1979 (00:00),-124.231,41.2063,5649.71
01/01/1979 (00:00),-123.857,41.2716,5643.71
01/01/1979 (00:00),-123.482,41.3354,5637.71
01/01/1979 (00:00),-123.107,41.3978,5631.21
01/01/1979 (00:00),-122.73,41.4588,5622.71
01/01/1979 (00:00),-122.353,41.5184,5614.21
01/01/1979 (00:00),-121.975,41.5766,5605.71
01/01/1979 (00:00),-121.596,41.6334,5594.71
01/01/1979 (00:00),-121.216,41.6887,5584.21
01/01/1979 (00:00),-120.835,41.7426,5573.21
01/01/1979 (00:00),-120.454,41.795,5561.71
01/01/1979 (00:00),-120.072,41.846,5550.21
01/01/1979 (00:00),-119.69,41.8956,5537.71
01/01/1979 (00:00),-119.307,41.9437,5525.21
01/01/1979 (00:00),-118.923,41.9903,5510.71
01/01/1979 (00:00),-118.538,42.0355,5496.71
01/01/1979 (00:00),-118.153,42.0792,5482.21
01/01/1979 (00:00),-117.767,42.1214,5467.71
01/01/1979 (00:00),-117.381,42.1622,5453.71
01/01/1979 (00:00),-116.994,42.2015,5439.71
01/01/1979 (00:00),-116.607,42.2393,5427.21
01/01/1979 (00:00),-116.219,42.2756,5416.21
01/01/1979 (00:00),-115.83,42.3105,5405.21
01/01/1979 (00:00),-115.441,42.3438,5395.21
01/01/1979 (00:00),-115.052,42.3757,5386.71
01/01/1979 (00:00),-114.662,42.406,5378.71
01/01/1979 (00:00),-114.272,42.4349,5371.71
01/01/1979 (00:00),-113.881,42.4622,5365.71
01/01/1979 (00:00),-113.49,42.4881,5359.21
01/01/1979 (00:00),-113.099,42.5124,5353.71
01/01/1979 (00:00),-112.707,42.5352,5349.21
01/01/1979 (00:00),-127.66,40.8348,5686.71
01/01/1979 (00:00),-127.292,40.9128,5683.71
01/01/1979 (00:00),-126.924,40.9894,5680.71
01/01/1979 (00:00),-126.555,41.0647,5676.71
01/01/1979 (00:00),-126.185,41.1386,5672.71
01/01/1979 (00:00),-125.813,41.2111,5668.71
01/01/1979 (00:00),-125.441,41.2823,5663.71
01/01/1979 (00:00),-125.068,41.3521,5658.21
01/01/1979 (00:00),-124.694,41.4205,5653.21
01/01/1979 (00:00),-124.319,41.4875,5646.71
01/01/1979 (00:00),-123.943,41.5531,5640.71
01/01/1979 (00:00),-123.567,41.6172,5634.71
01/01/1979 (00:00),-123.189,41.68,5627.71
01/01/1979 (00:00),-122.811,41.7414,5619.21
01/01/1979 (00:00),-122.432,41.8013,5610.71
01/01/1979 (00:00),-122.052,41.8598,5601.21
01/01/1979 (00:00),-121.671,41.9169,5591.21
01/01/1979 (00:00),-121.289,41.9726,5580.71
01/01/1979 (00:00),-120.907,42.0268,5569.21
01/01/1979 (00:00),-120.524,42.0795,5558.21
01/01/1979 (00:00),-120.14,42.1308,5546.21
01/01/1979 (00:00),-119.756,42.1806,5533.21
01/01/1979 (00:00),-119.371,42.229,5519.21
01/01/1979 (00:00),-118.985,42.2759,5504.71
01/01/1979 (00:00),-118.598,42.3214,5490.71
01/01/1979 (00:00),-118.211,42.3653,5476.21
01/01/1979 (00:00),-117.824,42.4078,5460.71
01/01/1979 (00:00),-117.435,42.4488,5446.21
01/01/1979 (00:00),-117.046,42.4884,5433.71
01/01/1979 (00:00),-116.657,42.5264,5422.21
01/01/1979 (00:00),-116.267,42.5629,5410.21
01/01/1979 (00:00),-115.877,42.598,5397.21
01/01/1979 (00:00),-115.486,42.6315,5387.71
01/01/1979 (00:00),-115.094,42.6635,5379.21
01/01/1979 (00:00),-114.703,42.6941,5372.71
01/01/1979 (00:00),-114.31,42.7231,5366.21
01/01/1979 (00:00),-113.918,42.7506,5360.21
01/01/1979 (00:00),-113.525,42.7766,5354.21
01/01/1979 (00:00),-113.131,42.8011,5348.71
01/01/1979 (00:00),-112.738,42.8241,5343.21
01/01/1979 (00:00),-127.764,41.1123,5684.21
01/01/1979 (00:00),-127.395,41.1907,5681.21
01/01/1979 (00:00),-127.025,41.2678,5678.21
01/01/1979 (00:00),-126.654,41.3435,5674.21
01/01/1979 (00:00),-126.282,41.4178,5670.21
01/01/1979 (00:00),-125.909,41.4908,5665.71
01/01/1979 (00:00),-125.536,41.5624,5661.21
01/01/1979 (00:00),-125.161,41.6325,5655.71
01/01/1979 (00:00),-124.785,41.7013,5650.21
01/01/1979 (00:00),-124.408,41.7687,5643.71
01/01/1979 (00:00),-124.031,41.8347,5638.21
01/01/1979 (00:00),-123.652,41.8992,5632.71
01/01/1979 (00:00),-123.273,41.9624,5624.71
01/01/1979 (00:00),-122.893,42.0241,5616.71
01/01/1979 (00:00),-122.512,42.0844,5607.71
01/01/1979 (00:00),-122.13,42.1432,5598.21
01/01/1979 (00:00),-121.747,42.2006,5588.21
01/01/1979 (00:00),-121.364,42.2566,5577.21
01/01/1979 (00:00),-120.979,42.3111,5566.21
01/01/1979 (00:00),-120.594,42.3641,5554.71
01/01/1979 (00:00),-120.209,42.4157,5541.71
01/01/1979 (00:00),-119.822,42.4659,5527.71
01/01/1979 (00:00),-119.435,42.5145,5513.21
01/01/1979 (00:00),-119.048,42.5617,5498.71
01/01/1979 (00:00),-118.659,42.6074,5485.21
01/01/1979 (00:00),-118.27,42.6516,5469.71
01/01/1979 (00:00),-117.88,42.6944,5453.71
01/01/1979 (00:00),-117.49,42.7356,5439.21
01/01/1979 (00:00),-117.099,42.7754,5427.71
01/01/1979 (00:00),-116.708,42.8136,5416.71
01/01/1979 (00:00),-116.316,42.8504,5402.21
01/01/1979 (00:00),-115.924,42.8856,5391.71
01/01/1979 (00:00),-115.531,42.9194,5382.21
01/01/1979 (00:00),-115.137,42.9516,5374.21
01/01/1979 (00:00),-114.743,42.9823,5367.71
01/01/1979 (00:00),-114.349,43.0115,5361.71
01/01/1979 (00:00),-113.954,43.0392,5355.71
01/01/1979 (00:00),-113.559,43.0653,5350.71
01/01/1979 (00:00),-113.164,43.09,5345.21
01/01/1979 (00:00),-112.768,43.113,5339.21
01/01/1979 (00:00),-127.87,41.3899,5681.71
01/01/1979 (00:00),-127.499,41.4688,5678.71
01/01/1979 (00:00),-127.127,41.5463,5675.71
01/01/1979 (00:00),-126.755,41.6224,5671.71
01/01/1979 (00:00),-126.381,41.6972,5667.71
01/01/1979 (00:00),-126.006,41.7705,5663.21
01/01/1979 (00:00),-125.631,41.8425,5658.21
01/01/1979 (00:00),-125.254,41.9131,5653.21
01/01/1979 (00:00),-124.877,41.9823,5647.21
01/01/1979 (00:00),-124.498,42.05,5641.21
01/01/1979 (00:00),-124.119,42.1164,5635.21
01/01/1979 (00:00),-123.738,42.1813,5629.21
01/01/1979 (00:00),-123.357,42.2448,5621.71
01/01/1979 (00:00),-122.975,42.3069,5613.21
01/01/1979 (00:00),-122.592,42.3675,5604.21
01/01/1979 (00:00),-122.209,42.4267,5595.71
01/01/1979 (00:00),-121.824,42.4844,5585.21
01/01/1979 (00:00),-121.439,42.5407,5574.21
01/01/1979 (00:00),-121.053,42.5956,5562.71
01/01/1979 (00:00),-120.666,42.6489,5551.21
01/01/1979 (00:00),-120.278,42.7008,5536.71
01/01/1979 (00:00),-119.89,42.7512,5522.21
01/01/1979 (00:00),-119.501,42.8002,5507.21
01/01/1979 (00:00),-119.111,42.8476,5492.71
01/01/1979 (00:00),-118.721,42.8936,5478.21
01/01/1979 (00:00),-118.33,42.9381,5463.21
01/01/1979 (00:00),-117.938,42.9811,5447.71
01/01/1979 (00:00),-117.546,43.0225,5433.71
01/01/1979 (00:00),-117.153,43.0625,5421.71
01/01/1979 (00:00),-116.759,43.101,5409.71
01/01/1979 (00:00),-116.365,43.138,5396.71
01/01/1979 (00:00),-115.971,43.1734,5387.21
01/01/1979 (00:00),-115.576,43.2074,5379.71
01/01/1979 (00:00),-115.18,43.2398,5372.71
01/01/1979 (00:00),-114.785,43.2707,5366.21
01/01/1979 (00:00),-114.388,43.3,5359.21
01/01/1979 (00:00),-113.991,43.3279,5353.71
01/01/1979 (00:00),-113.594,43.3542,5348.21
01/01/1979 (00:00),-113.197,43.379,5342.71
01/01/1979 (00:00),-112.799,43.4022,5335.71
01/01/1979 (00:00),-127.976,41.6676,5679.21
01/01/1979 (00:00),-127.604,41.7469,5676.21
01/01/1979 (00:00),-127.231,41.8249,5673.21
01/01/1979 (00:00),-126.856,41.9014,5669.21
01/01/1979 (00:00),-126.481,41.9766,5665.21
